ID,Name,Address,Latitude,Longitude,Rank,Review Number,Mean Price,Category,Business Circle
4074148,"国金中心商场","世纪大道8号","31.23595","121.50305","五星商户","2162","￥2698","综合商场","陆家嘴"
6311018,"一風堂拉面(国金中心店)","世纪大道8号国金中心LG1-79-80号","31.2374","121.50126","四星商户","2675","￥67","日本菜","陆家嘴"
3566212,"上海凯宾斯基大酒店","陆家嘴环路1288号","31.24274","121.50411","四星商户","827","￥1215","五星级/豪华型","陆家嘴"
4621834,"板长寿司(国金中心店)","世纪大道8号国金中心地下1楼LG1-18号商铺","31.23671","121.50138","四星商户","6557","￥92","日本菜","陆家嘴"
5331155,"上海浦东文华东方酒店","浦东南路111号","31.24283","121.50726","五星商户","449","￥1955","五星级/豪华型","陆家嘴"
5575172,"食之秘(正大广场店)","陆家嘴西路168号正大广场5楼24-25号铺","31.23703","121.50011","准五星商户","5119","￥62","面包甜点","陆家嘴"
4063642,"俏江南(国金中心店)","世纪大道8号国金中心商场4楼","31.2365","121.50115","准五星商户","2015","￥205","川菜","陆家嘴"
22153184,"Dolci Vizi","陆家嘴西路168号正大广场B2楼","31.23752","121.50052","准五星商户","327","￥77","西餐","陆家嘴"
4673323,"浦江二号","滨江大道2250号","31.24348","121.50376","五星商户","115","￥1045","粤菜","陆家嘴"
5606435,"震旦博物馆","富城路99号震旦国际大厦内","31.23484","121.49954","五星商户","484","￥57","展馆展览","陆家嘴"
16821355,"丸龟制面(浦东正大广场店)","陆家嘴西路168号正大广场B2楼","31.23738","121.50016","准五星商户","1387","￥35","日本菜","陆家嘴"
8947458,"MARINA By DN 望海西餐厅","陆家嘴滨江大道2972号","31.23765","121.49551","准五星商户","422","￥451","西餐","陆家嘴"
2326123,"港丽餐厅(正大店)","陆家嘴西路168号正大广场7楼08A号铺","31.2374","121.50012","四星商户","8037","￥102","粤菜","陆家嘴"
500787,"粤珍轩","世纪大道88号金茂君悦大酒店55楼","31.23486","121.50558","五星商户","857","￥422","粤菜","陆家嘴"
4197182,"望湘园(正大广场店)","陆家嘴西路168号正大广场4楼29号铺","31.23674","121.49919","五星商户","5122","￥82","湘菜","陆家嘴"
2047657,"上海金茂君悦大酒店","世纪大道88号金茂大厦53-87楼","31.23526","121.50584","准五星商户","1460","￥1549","五星级/豪华型","陆家嘴"
17704112,"Ritz Carlton Buffet","世纪大道8号国金中心丽思卡尔顿酒店52楼","31.23646","121.50103","五星商户","156","￥453","自助餐","陆家嘴"
5574643,"鹿港小镇(正大店)","陆家嘴西路168号正大广场8楼810室","31.23698","121.49968","四星商户","4001","￥95","台湾菜","陆家嘴"
19592702,"悦泰(金茂店)","金茂大厦裙楼5楼","31.23546","121.50586","准五星商户","903","￥159","东南亚菜","陆家嘴"
2237611,"金茂大厦88层观光厅","世纪大道88号金茂大厦88楼","31.23509","121.50548","准五星商户","841","￥105","城市观光","陆家嘴"
8876721,"雍颐庭","浦东南路111号文华东方酒店LG层","31.24362","121.50727","五星商户","327","￥552","本帮江浙菜","陆家嘴"
4049593,"海蓝意大利餐厅","陆家嘴环路1288号上海凯宾斯基大酒店2楼","31.24233","121.5042","五星商户","154","￥206","西餐","陆家嘴"
4277498,"苏浙总会","世纪大道8号国金中心4楼L4-13","31.2374","121.50126","准五星商户","817","￥455","本帮江浙菜","陆家嘴"
4088794,"意索娜意大利餐厅","世纪大道8号上海国金中心L4楼17号铺(浦东香格里拉对面）","31.23663","121.50131","准五星商户","1072","￥310","西餐","陆家嘴"
5175874,"浦之舟","滨江大道3688号","31.22953","121.50398","五星商户","204","￥561","其他","陆家嘴"
2874784,"世纪100酒吧","世纪大道100号上海环球金融中心上海柏悦酒店92楼","31.23457","121.50796","准五星商户","501","￥169","其他","陆家嘴"
5374910,"避风塘(正大广场店)","陆家嘴西路168号正大广场8楼27号铺","31.2374","121.50013","准五星商户","3195","￥79","粤菜","陆家嘴"
21761208,"Vapiano 新意尚","富城路24号-26号","31.23562","121.49809","准五星商户","250","￥106","西餐","陆家嘴"
21678721,"爱玲EILEEN","世纪大道100号环球金融中心3楼","31.23398","121.50685","五星商户","330","￥308","本帮江浙菜","陆家嘴"
4073998,"利苑(国金中心店)","世纪大道8号上海国金中心3楼L3-17&18","31.23664","121.50122","准五星商户","2435","￥399","粤菜","陆家嘴"
5386310,"和良形象(陆家嘴店)","东昌路580号","31.23276","121.51316","五星商户","1049","￥274","美发","陆家嘴"
5213564,"TAVOLA","滨江大道2500号,东园路路口","31.24262","121.50148","准五星商户","1039","￥285","西餐","陆家嘴"
17626076,"小螺莉螺蛳粉(栖霞路店)","栖霞路17号","31.23524","121.51399","准五星商户","668","￥27","小吃快餐","陆家嘴"
23093341,"赤坂舞马雅(上海环球金融中心店)","世纪大道100号3F","31.23558","121.50773","五星商户","100","￥104","日本菜","陆家嘴"
2440144,"裕景大饭店","浦东大道535号裕景大饭店内","31.2409","121.52017","四星商户","915","￥613","五星级/豪华型","陆家嘴"
3891061,"感智盲人保健会所(张杨路店)","浦东新区张杨路1519号","31.2338","121.53495","准五星商户","2031","￥63","足疗按摩","陆家嘴"
22383451,"柏悦酒店87层自助餐厅","世纪大道100号上海环球金融中心87层","31.23456","121.5073","四星商户","65","￥498","自助餐","陆家嘴"
22994243,"海鲜姿造-鲔牛汇","世纪大道88号金茂大厦裙楼3楼","31.23526","121.50582","四星商户","543","￥334","海鲜","陆家嘴"
15097663,"Big Bus双层观光巴士","九江路588号(近湖北路)","31.22908","121.47235","五星商户","132","￥82","城市观光","陆家嘴"
4091239,"SCENA意味轩","世纪大道8号丽思卡尔顿酒店52楼","31.23663","121.50131","五星商户","1030","￥594","西餐","陆家嘴"
500765,"意庐","世纪大道88号金茂君悦大酒店56楼","31.23528","121.50584","四星商户","757","￥369","西餐","陆家嘴"
5500921,"小金牛(正大广场店)","陆家嘴西路168号正大广场8楼21号铺","31.2374","121.50012","四星商户","1959","￥77","东南亚菜","陆家嘴"
564205,"东方滨江大酒店滨江厅","滨江大道2727号东方滨江大酒店1楼","31.23947","121.49694","准五星商户","988","￥156","自助餐","陆家嘴"
18229706,"Urban Soup Kitchen(环球金融中心店)","世纪大道100号环球金融中心B106-1楼","31.23494","121.50767","准五星商户","221","￥52","西餐","陆家嘴"
4535604,"PANKOO釜山料理(国金中心店)","世纪大道8号国金中心商场4楼L4-18","31.23664","121.50131","四星商户","2374","￥99","韩国料理","陆家嘴"
15089712,"蓝蛙(正大店)","富城路12-14号","31.23604","121.49807","准五星商户","712","￥130","西餐","陆家嘴"
21747623,"醉辉皇(陆家嘴店)","花园石桥路66号东亚银行金融大厦3楼","31.23427","121.50202","四星商户","196","￥127","海鲜","陆家嘴"
17986642,"香淳湾","滨江大道1836号（浦东南路到底右转）","31.2444","121.50698","准五星商户","370","￥408","粤菜","陆家嘴"
6854819,"云庐","滨江大道2300号","31.24321","121.50344","五星商户","97","￥759","其他","陆家嘴"
1919707,"新元素(正大店)","陆家嘴西路168号正大广场1楼17~18号铺","31.23685","121.49929","四星商户","2937","￥122","西餐","陆家嘴"
501019,"廊亦舫酒楼(正大店)","陆家嘴西路168号正大广场5楼23号铺","31.2374","121.50012","四星商户","4291","￥151","本帮江浙菜","陆家嘴"
8876725,"58° 扒房","浦东南路111号文华东方酒店行政公寓大堂1层","31.24364","121.50722","五星商户","410","￥571","西餐","陆家嘴"
24788617,"卡尔沙龙(华润八佰伴)","张杨路500号华润时代广场315","31.22734","121.51783","五星商户","104","￥383","美发","八佰伴"
504215,"天水恋意大利餐厅","滨江大道3082号","31.23484","121.49866","四星商户","1302","￥171","西餐","陆家嘴"
6305810,"古意湘味浓(国金店)","世纪大道8号国金中心LG1楼LG1-81","31.23646","121.50103","准四星商户","884","￥126","湘菜","陆家嘴"
16821374,"禾绿回转寿司(正大广场店)","陆家嘴西路168号正大广场B2楼","31.23743","121.50019","四星商户","1160","￥83","日本菜","陆家嘴"
4514690,"COVA(国金中心)","世纪大道8号国金中心商场L1楼30号商铺","31.2374","121.50126","准五星商户","1383","￥157","面包甜点","陆家嘴"
1901602,"必胜客(正大店)","陆家嘴西路168号正大广场5楼","31.23703","121.50011","四星商户","1787","￥79","西餐","陆家嘴"
19433031,"面屋武藏(IFC店)","世纪大道8号陆家嘴国金中心D座LG2楼C-1","31.23591","121.50102","准五星商户","2001","￥55","日本菜","陆家嘴"
5500928,"韩林炭烤(正大广场店)","陆家嘴西路168号正大广场8楼26号铺","31.23674","121.49919","四星商户","3118","￥97","韩国料理","陆家嘴"
18721096,"卡尔沙龙(全球首间美发博物馆店)","张扬路500号华润时代广场314","31.22699","121.51701","五星商户","197","None","美发","八佰伴"
23416337,"红领巾轰趴馆(中山公园店)","长宁路1551弄（遵义路797弄）虹桥国际大厦4号楼","31.21669","121.40799","五星商户","101","￥84","轰趴馆","中山公园"
2272357,"居食屋和民(正大广场店)","陆家嘴西路168号正大广场8楼-22号铺o5B","31.23704","121.50012","四星商户","6765","￥101","日本菜","陆家嘴"
21314207,"翠华餐厅(正大广场分店)","陆家嘴西路168号正大广场6楼10","31.23703","121.49928","准四星商户","655","￥94","粤菜","陆家嘴"
18138132,"来我家吧轰趴馆","昌邑路600号","31.24147","121.52198","五星商户","133","￥90","轰趴馆","陆家嘴"
2095639,"万和亚隆国际酒店","崮山路688号","31.23986","121.55975","准四星商户","691","￥259","四星级/高档型","陆家嘴"
1928773,"科瓦齿科(金茂大厦门诊)","世纪大道88号金茂大厦裙房时尚生活中心s10-s19","31.23536","121.5053","四星商户","533","￥1740","齿科","陆家嘴"
1894408,"上海大自然野生昆虫馆","丰和路1号","31.24044","121.49772","四星商户","1490","￥53","动植物园","陆家嘴"
2069893,"晶浦会(陆家嘴店)","花园石桥路33号花旗集团大厦4楼","31.23403","121.5008","准五星商户","945","￥354","粤菜","陆家嘴"
6087018,"! WANT POWER(金茂店)","世纪大道88号金茂大厦裙房1楼1S-05室","31.23509","121.50546","五星商户","143","￥41","西餐","陆家嘴"
18385564,"Gloria Jean's Coffees(正大广场店)","陆家嘴西路168号正大广场1F30A室商铺","31.23703","121.49928","准五星商户","392","￥39","咖啡厅","陆家嘴"
2815084,"浦东由由喜来登酒店盛宴西餐厅","浦建路38号喜来登由由酒店1楼","31.2092","121.51827","四星商户","722","￥206","自助餐","塘桥"
1794811,"好乐迪(正大店)","陆家嘴西路168号正大广场8楼05号铺","31.23674","121.49919","准五星商户","5668","￥52","KTV","陆家嘴"
18231840,"原汁缘味过桥米线(正大广场店)","陆家嘴西路168号陆家嘴正大广场B2楼","31.23703","121.50011","四星商户","2863","￥25","小吃快餐","陆家嘴"
16970164,"万信酒店(陆家嘴店)","南洋泾路578号","31.23278","121.55656","准五星商户","303","￥336","四星级/高档型","陆家嘴"
2869393,"世纪100餐厅","世纪大道100号上海环球金融中心上海柏悦酒店91-93楼","31.23457","121.50796","准五星商户","1109","￥810","西餐","陆家嘴"
2120617,"鼎泰丰(上海正大店)","陆家嘴西路168号正大广场3楼24号铺","31.23703","121.50011","四星商户","3422","￥129","小吃快餐","陆家嘴"
26986409,"蜜途翻糖蛋糕定制(国金ifc店)","世纪大道18号","31.23624","121.5018","五星商户","36","￥1999","面包甜点","陆家嘴"
4132319,"鹿港小镇(星展店)","陆家嘴环路1318号星展银行大厦B1楼06室","31.24177","121.50361","四星商户","929","￥99","台湾菜","陆家嘴"
2054935,"汉堡王(正大店)","陆家嘴西路168号正大广场5楼东区32号铺","31.23673","121.49906","四星商户","3425","￥31","小吃快餐","陆家嘴"
4279931,"食尚港丽(国金店)","世纪大道8号国金中心商场地下1楼LG1-20号商铺","31.23662","121.50127","四星商户","3149","￥106","粤菜","陆家嘴"
3994102,"阿尔贝鲁西班牙餐厅","陆家嘴环路1288号上海凯宾斯基大酒店2楼","31.24233","121.5042","准五星商户","183","￥167","西餐","陆家嘴"
4135267,"Royce'  Chocolates(国金中心店)","世纪大道8号上海国金中心LG2楼city'super内","31.23663","121.50122","准五星商户","1725","￥138","面包甜点","陆家嘴"
8863893,"早安巴黎(正大广场店)","陆家嘴西路168号正大广场B2楼","31.23741","121.50013","准五星商户","1481","￥35","面包甜点","陆家嘴"
10337065,"麝香猫咖啡餐厅(滨江店)","陆家嘴西路2967号滨江大道富都段","31.23537","121.4972","准五星商户","779","￥81","咖啡厅","陆家嘴"
6030491,"小杨生煎(东方明珠店)","陆家嘴环路1406-1408号","31.23942","121.5014","四星商户","1659","￥23","小吃快餐","陆家嘴"
4074034,"丽思卡尔顿酒店金轩中餐厅","世纪大道8号上海国金中心丽思卡尔顿酒店53楼","31.23642","121.50124","准五星商户","453","￥606","粤菜","陆家嘴"
6182586,"浦东四季酒店尚席","世纪大道210号四季酒店2楼","31.23433","121.51024","五星商户","297","￥437","粤菜","陆家嘴"
5279694,"屯京拉面(上海环球金融中心店)","世纪大道100号上海环球金融中心B1楼","31.2351","121.50775","准五星商户","1981","￥53","日本菜","陆家嘴"
17724647,"糖纸甜品(正大广场店)","陆家嘴西路168号正大广场3楼","31.23749","121.4999","四星商户","2553","￥25","面包甜点","陆家嘴"
11550270,"刘娟美甲沙龙(国金中心店IFC店)","世纪大道8号国金中心商场B2楼LG2-6铺","31.23664","121.50131","五星商户","315","￥514","美甲","陆家嘴"
12950630,"大头仔特色海鲜面馆(栖霞路店)","栖霞路21号","31.23539","121.51404","五星商户","748","￥29","小吃快餐","陆家嘴"
13661401,"Fuel Espresso","世纪大道8号国金中心商场2楼44号","31.23662","121.50129","准五星商户","483","￥50","咖啡厅","陆家嘴"
